Auto,Hands-on lane-centering steering down to a stop,Hands-on lane-centering steering at lower speeds,Hands-on lane-centering steering at higher speeds,Hands-free lane-centering at lower speeds only,Horsepower,Top Speed,Seconds to 100km/h (60mph),Range (urban) [km],CO2 emission / g/km urban,TCO 50K km urban,TCO 100K km urban,Range (extra-urban) [km],CO2 emission / g/km extra-urban,TCO 50K km extra-urban,TCO 100K km extra-urban,Range (combined) [km],CO2 emission / g/km combined,TCO 50K km combined,TCO 100K km combined,Safety
2022 Alfa Romeo Giulia,1,1,1,0,280,240,5.6,590.9183673,234.416,51805,58665,813.3426966,170.3104,49929,54913,665.6321839,208.104,51035,57125,0.98
2022 BMW 2 Series coupe and convertible,1,1,1,0,255,249,5.5,573.038674,216.476,43680,50015,771.7261905,160.7424,42049,46753,639.4574599,193.9912,43022,48699,0.82
2022 BMW 2 Series Gran Coupe,1,1,1,0,228,249,4.9,509.8979592,234.416,41555,48415,722.1098266,165.5264,39539,44383,594.8809524,200.928,40575,46455,0.94
2022 BMW 3 Series,1,1,1,1,255,249,5.2,628.1914894,224.848,48030,54610,853.3236994,165.5264,46294,51138,702.9761905,200.928,47330,53210,0.97
2022 BMW 4 Series,1,1,1,1,255,249,3.8,627.5239107,225.0872,52387,58974,853.3236994,165.5264,50644,55488,702.9761905,200.928,51680,57560,0.97
2022 BMW i4,1,1,1,1,335,190,5.7,670,0,67834.1791,68773.35821,440,0,68325.11364,69755.22727,540,0,68060.27778,69225.55556,0.87
2022 Honda Accord,0,0,1,0,252,186,6.6,524.04116,255.7048,33603,41086,762.1768707,175.812,31265,36410,619.0055249,216.476,32455,38790,0.86
2022 Hyundai Elantra,1,1,1,0,147,249,5.3,659.2696629,170.3104,24934,29918,858.1352834,130.8424,23779,27608,738.0503145,152.1312,24402,28854,0.79
2022 Hyundai Ioniq 5,1,1,1,0,168,185,8.5,435,0,46900,47900,270,0,47511.11111,49122.22222,340,0,47179.41176,48458.82353,0.88
2022 Hyundai Sonata,1,1,1,0,191,234,7.7,667.7380952,200.928,30230,36110,906.1389338,148.0648,28683,33016,763.1292517,175.812,29495,34640,0.79
2022 Kia EV6,1,1,1,0,168,185,8.5,450,0,41866.66667,42833.33333,280,0,42453.57143,44007.14286,350,0,42142.85714,43385.71429,0.9
2022 Kia K5,1,1,1,0,180,249,7.7,686.6819747,208.3432,31187,37284,940.408805,152.1312,29542,33994,788.0105402,181.5528,30403,35716,0.79
2022 Kia Stinger,1,1,1,0,368,239,4.6,434.8988439,331.0528,63378,73066,614.1836735,234.416,60550,67410,511.8197279,281.2992,61922,70154,0.93
2022 Lexus RC,0,0,0,0,311,212,5.6,560.1190476,281.2992,50452,58684,784.1666667,200.928,48100,53980,643.8905181,244.7016,49381,56542,0.79
2022 Lexus IS,1,1,1,0,472,239,4.3,475.9393064,331.0528,66538,76226,700,225.0872,63437,70024,560.1190476,281.2992,65082,73314,0.91
2022 Mercedes-AMG GT,0,0,0,0,720,325,2.9,645.1534733,296.1296,101166,109832,848.7778959,225.0872,99087,105674,713.125,267.904,100340,108180,0.79
2022 Mercedes-Benz C-Class,1,1,1,0,255,207,5.3,700,225.0872,50137,56724,980.2083333,160.7424,48254,52958,812.2071517,193.9912,49227,54904,0.93
2022 Porsche 911,0,0,0,0,473,310,2.8,462.2109827,331.0528,130988,140676,625.3176931,244.7016,128461,135622,516.720517,296.1296,129966,138632,0.79
2022 Subaru Legacy,1,1,1,0,182,208,9.2,804.0183697,208.3432,29092,35189,1042.113095,160.7424,27699,32403,893.2397959,187.5328,28483,33971,0.79
2022 Tesla Model 3 Long Range,1,1,1,0,197,233,4.2,700,0,58868.57143,59747.14286,460,0,59326.95652,60663.91304,560,0,59088.21429,60186.42857,0.96
2022 Volkswagen Arteon,1,1,1,0,300,206,4.6,616.1833489,255.7048,57033,64516,840.1785714,187.5328,55038,60526,700,225.0872,56137,62724,0.96
Type,1,1,1,1,1,1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1
