Ai,TOSS pref,TOPSIS pref,TOSS rank,TOPSIS rank
$A_{1}$,0.6558077298230237,0.6322215007434487,6,6
$A_{2}$,0.6098597101769491,0.5855278869843566,10,10
$A_{3}$,0.6427626043146802,0.6211818833687677,8,8
$A_{4}$,0.7434201604313309,0.7138284225471982,2,2
$A_{5}$,0.7513505953564659,0.7236420433153863,1,1
$A_{6}$,0.7101965187289081,0.684249435666109,3,3
$A_{7}$,0.43706150872659727,0.4177082666483898,18,18
$A_{8}$,0.6202540536201153,0.6061887365950946,9,9
$A_{9}$,0.577781660798119,0.5685381091377038,16,16
$A_{10}$,0.5912462291703556,0.5773294904738645,12,13
$A_{11}$,0.5868198258517017,0.5791942591785608,13,12
$A_{12}$,0.5926145915144373,0.5796926659337025,11,11
$A_{13}$,0.577234610963049,0.5646172907530385,17,17
$A_{14}$,0.32868636261692613,0.3051013857403766,20,20
$A_{15}$,0.5868002748100467,0.5715098606928591,14,15
$A_{16}$,0.3494936615735079,0.3414714175678925,19,19
$A_{17}$,0.6639966324652885,0.6416711981649382,5,5
$A_{18}$,0.28075067172776963,0.27665599115433975,21,21
$A_{19}$,0.5794081179480491,0.5721116690742506,15,14
$A_{20}$,0.6923750358521518,0.6801014201783022,4,4
$A_{21}$,0.6448714373327079,0.6255829367679999,7,7
